Sample_ID,Plot,Plot number,Soil_Litter,Horizon,Horizon_code,Soil_letter,Soil_type,Sand_Clay,Ca,K,Mg,P,Al,B,Cr,Cu,Fe,Mn,Na,Ni,Pb,Zn,N,C,"Total bases (Mg, Ca, K in ppm)",N_plus_P,pH
B1_02,B1,1,Soil, 0-2,2,B,Sandy clay in valleys,Sand,131,168,153,12,53,1,0,10,200,25,98,6.8,0,7,0.39,24.49,452,12.02,3.81
B1_0210,B1,1,Soil, 2-10,3,B,Sandy clay in valleys,Sand,29,37,23,6,56,1,0.1,18,257,4,54,5,0,6,0.13,2.11,88.91,6.47,4.1
B1_1020,B1,1,Soil, 10-20,4,B,Sandy clay in valleys,Sand,29,30,13,4,52,1,0.2,16,211,2,30,3,0,5,0.08,1.16,71.68,4.44,4.56
B1_Litt,B1,1,Litter,Litter,1,B,Sandy clay in valleys,Sand,0.2,0.076,0.12,0.004,353,13,0,24,195,376,159,0,0,0,0.74,43.79,0.39,0.75,4.51
B2_02,B2,2,Soil, 0-2,2,B,Sandy clay in valleys,Sand,131,168,153,12,53,1,0,10,200,25,98,6.8,0,7,0.39,24.49,452,12.02,3.77
B2_0210,B2,2,Soil, 2-10,3,B,Sandy clay in valleys,Sand,25,39,17,0,103,1,0.2,30,221,2,34,4,0,11,0.15,2.7,80.54,0.15,4.23
B2_1020,B2,2,Soil, 10-20,4,B,Sandy clay in valleys,Sand,19,33,14,2,96,2,0.2,21,149,2,34,2,0,8,0.1,0.97,67.11,2.2,4.53
B2_Litt,B2,2,Litter,Litter,1,B,Sandy clay in valleys,Sand,0.14,0.081,0.11,0.017,1353,11,0,21,113,280,203,0,0,22,0.86,43.93,0.33,0.88,4.51
B3_02,B3,3,Soil, 0-2,2,B,Sandy clay in valleys,Sand,131,168,153,12,53,1,0,10,200,25,98,6.8,0,7,0.39,24.49,452,12.02,3.8
B3_0210,B3,3,Soil, 2-10,3,B,Sandy clay in valleys,Sand,22,37,16,4,156,1,0.2,23,230,3,71,5,0,10,0.14,2.2,75,4.14,4.41
B3_1020,B3,3,Soil, 10-20,4,B,Sandy clay in valleys,Sand,16,29,8,3,244,2,0.2,20,160,1,67,2,0,6,0.09,0.94,52.9,3.06,4.51
B3_Litt,B3,3,Litter,Litter,1,B,Sandy clay in valleys,Sand,0.23,0.081,0.18,0.018,1180,12,0,55,240,520,188,0,0,37,1.01,44.73,0.49,1.03,5.06
K1_02,K1,1,Soil, 0-2,2,K,Upper scarp,Clay,132,186,194,15,202,2,0.1,2,206,23,64,9,0,5,0.59,15.11,512.45,15.56,3.85
K1_0210,K1,1,Soil, 2-10,3,K,Upper scarp,Clay,21,47,19,8,375,0.9,0.2,17,209,3,60,4,0,7,0.11,1.73,86.63,7.9,4.29
K1_1020,K1,1,Soil, 10-20,4,K,Upper scarp,Clay,17,34,13,3,306,2,0.3,13,193,1,51,2,0,5,0.08,0.87,64.85,2.72,4.57
K1_Litt,K1,1,Litter,Litter,1,K,Upper scarp,Clay,0.33,0.085,0.16,0.012,1516,13,0,20,162,615,131,0,0,14,1.03,44.88,0.57,1.05,
K2_02,K2,2,Soil, 0-2,2,K,Upper scarp,Clay,132,186,194,15,202,2,0.1,2,206,23,64,9,0,5,0.59,15.11,512.45,15.56,4.29
K2_0210,K2,2,Soil, 2-10,3,K,Upper scarp,Clay,21,55,41,3,230,2,0.1,17,296,2,52,5,0.3,8,0.17,2.63,117.26,3.44,4.14
K2_1020,K2,2,Soil, 10-20,4,K,Upper scarp,Clay,,,,,,,,,,,,,,,,,,,
